"mun_residencia";"01 - Janeiro/2021";"02 - Fevereiro/2020";"02 - Fevereiro/2021";"03 - Março/2020";"03 - Março/2021";"04 - Abril/2020";"04 - Abril/2021";"05 - Maio/2020";"05 - Maio/2021";"06 - Junho/2020";"06 - Junho/2021";"07 - Julho/2020";"07 - Julho/2021";"08 - Agosto/2020";"09 - Setembro/2020";"10 - Outubro/2020";"11 - Novembro/2020";"12 - Dezembro/2020"
"Acari";0;0;1;0;2;0;3;1;1;0;1;2;0;1;3;0;0;0
"Açu";3;0;5;0;17;2;15;2;2;16;8;25;0;14;6;5;4;6
"Afonso Bezerra";0;0;0;0;0;0;0;1;3;4;2;1;0;3;1;0;0;1
"Água Nova";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"Alexandria";0;0;0;0;1;1;1;0;4;2;5;1;0;0;0;1;0;4
"Almino Afonso";1;0;1;0;2;0;3;0;0;0;1;0;0;0;0;0;0;4
"Alto do Rodrigues";0;0;0;0;3;1;4;5;6;4;2;5;0;2;3;0;0;0
"Angicos";0;0;0;0;4;0;3;1;6;1;1;1;0;1;1;0;0;1
"Antônio Martins";0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;0;0
"Apodi";6;0;5;0;3;1;8;6;18;4;5;8;0;5;6;3;2;6
"Areia Branca";2;0;4;0;6;0;8;26;4;18;4;4;0;1;1;0;2;4
"Arês";1;0;3;0;2;0;2;0;1;0;0;7;0;3;0;0;1;0
"Augusto Severo (Campo Grande)";0;0;2;0;1;0;3;0;2;0;1;1;0;1;0;0;1;0
"Baía Formosa";0;0;2;0;0;0;0;0;0;1;0;2;0;2;1;0;0;0
"Baraúna";1;0;0;0;0;0;3;5;2;4;2;5;0;1;0;0;1;0
"Barcelona";0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;1
"Bento Fernandes";0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"Bodó";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bom Jesus";1;0;2;0;2;0;1;1;2;1;0;1;0;1;0;1;0;1
"Brejinho";1;0;1;0;1;0;1;0;4;2;1;1;0;0;0;0;0;1
"Caiçara do Norte";0;0;1;0;2;0;3;0;0;1;1;2;0;0;0;0;0;0
"Caiçara do Rio do Vento";2;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0
"Caicó";20;0;12;0;8;0;9;1;13;7;8;10;0;8;10;4;6;12
"Campo Redondo";0;0;2;0;3;0;1;0;1;0;0;4;0;0;0;0;0;0
"Canguaretama";0;0;0;0;2;4;4;4;3;5;4;3;0;2;0;0;0;1
"Caraúbas";4;0;4;0;2;0;10;0;2;1;0;3;0;0;0;1;2;2
"Carnaúba dos Dantas";1;0;0;0;0;1;0;0;2;1;0;1;0;0;0;1;0;1
"Carnaubais";0;0;0;0;2;0;2;0;5;2;3;2;0;0;0;0;0;2
"Ceará-Mirim";2;0;7;0;22;2;9;12;5;13;3;11;0;3;5;0;2;1
"Cerro Corá";0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0
"Coronel Ezequiel";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
"Coronel João Pessoa";0;0;0;1;1;0;2;1;0;0;1;0;0;0;0;0;0;1
"Cruzeta";1;0;1;0;2;0;0;0;1;0;0;2;0;0;0;0;0;4
"Currais Novos";5;0;2;0;13;0;7;1;1;4;9;5;0;3;3;3;2;1
"Doutor Severiano";0;0;2;0;1;0;5;1;3;0;1;0;0;0;3;0;1;4
"Encanto";1;0;1;0;3;1;0;1;0;1;0;1;0;0;1;1;1;2
"Equador";1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
"Espírito Santo";1;0;2;0;0;0;0;1;0;1;2;3;0;1;0;0;0;0
"Extremoz";1;0;2;0;10;0;4;2;1;13;0;13;0;1;1;0;1;2
"Felipe Guerra";0;0;0;0;4;0;2;0;2;1;0;0;0;3;2;0;1;1
"Fernando Pedroza";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
"Florânia";0;0;0;0;1;0;3;0;3;2;0;3;0;0;1;0;0;1
"Francisco Dantas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Frutuoso Gomes";0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0
"Galinhos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Goianinha";0;0;0;0;7;0;9;0;6;5;2;1;0;0;2;1;2;0
"Governador Dix-Sept Rosado";0;0;0;0;2;0;2;0;0;0;1;1;0;2;3;1;1;2
"Grossos";2;0;2;0;1;0;2;2;3;1;2;1;0;0;0;0;0;1
"Guamaré";3;0;2;0;6;0;10;4;3;8;0;5;0;2;0;0;1;2
"Ielmo Marinho";0;0;1;0;1;0;0;1;1;1;0;0;0;2;0;0;0;0
"Ipanguaçu";1;0;1;0;1;1;1;3;1;3;1;2;0;3;0;0;2;0
"Ipueira";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Itajá";1;0;0;0;0;0;1;1;4;0;2;1;0;1;1;0;0;0
"Itaú";0;0;0;0;1;0;1;0;2;0;1;0;0;0;0;3;0;2
"Jaçanã";0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
"Jandaíra";0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0
"Janduís";1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0
"Januário Cicco (Boa Saúde)";0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;1;1;0
"Japi";0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0
"Jardim de Angicos";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jardim de Piranhas";4;0;1;0;4;0;1;1;4;2;5;8;0;5;2;0;0;2
"Jardim do Seridó";2;0;0;0;3;0;7;0;1;1;0;1;0;0;0;4;0;1
"João Câmara";2;0;8;0;13;0;5;2;2;1;0;3;0;0;1;2;2;0
"João Dias";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"José da Penha";1;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0
"Jucurutu";2;0;0;0;2;0;11;1;6;3;4;0;0;4;2;1;2;6
"Jundiá";0;0;0;0;2;0;2;0;1;0;0;2;0;1;0;0;0;0
"Lagoa d'Anta";0;0;1;0;0;0;0;0;1;3;0;1;0;1;0;0;0;0
"Lagoa de Pedras";0;0;0;0;2;1;2;0;3;0;0;2;0;1;1;0;1;0
"Lagoa de Velhos";2;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;1
"Lagoa Nova";2;0;0;0;5;0;0;0;1;1;0;2;0;0;0;0;0;0
"Lagoa Salgada";0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0
"Lajes";0;0;2;0;0;0;2;0;0;2;4;0;0;0;0;0;0;0
"Lajes Pintadas";2;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0
"Lucrécia";0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0
"Luís Gomes";0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1
"Macaíba";4;0;8;2;18;1;12;11;13;35;8;15;0;7;2;4;2;7
"Macau";0;0;1;0;1;0;4;3;4;12;1;2;0;1;5;0;0;1
"Major Sales";2;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;2;0
"Marcelino Vieira";6;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0
"Martins";0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0
"Maxaranguape";0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0
"Messias Targino";0;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0;1;0
"Montanhas";0;0;1;0;1;0;1;0;1;4;2;2;0;0;0;0;0;0
"Monte Alegre";0;0;1;0;0;0;2;1;1;1;3;0;0;0;0;1;0;1
"Monte das Gameleiras";0;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0
"Mossoró";24;0;15;2;50;13;76;45;48;60;24;54;0;34;8;3;12;34
"Natal";100;0;140;1;444;15;214;133;113;400;82;362;0;105;37;19;38;102
"Nísia Floresta";2;0;6;0;3;1;6;2;2;0;0;2;0;0;1;1;1;2
"Nova Cruz";2;0;1;0;8;0;6;2;9;12;1;4;0;2;1;1;1;1
"Olho-d'Água do Borges";1;0;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0
"Ouro Branco";0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0
"Paraná";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"Paraú";1;0;1;0;1;0;2;0;0;2;0;0;0;1;0;0;0;1
"Parazinho";2;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0
"Parelhas";1;0;0;0;8;0;5;0;2;0;2;2;0;1;0;0;0;1
"Parnamirim";31;0;32;0;82;4;42;18;32;65;20;50;0;18;9;8;4;26
"Passa e Fica";0;0;0;0;0;0;2;0;2;1;1;0;0;0;0;0;0;0
"Passagem";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Patu";8;0;1;0;3;0;1;1;2;0;0;0;0;1;3;2;2;2
"Pau dos Ferros";2;0;2;0;1;0;1;1;4;1;6;1;0;0;0;0;2;3
"Pedra Grande";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
"Pedra Preta";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pedro Avelino";0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
"Pedro Velho";1;0;0;0;0;0;2;0;0;0;1;2;0;0;1;0;0;0
"Pendências";0;0;0;0;3;0;2;3;6;6;2;5;0;1;0;1;0;3
"Pilões";2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Poço Branco";0;0;1;0;2;0;1;1;1;4;1;1;0;0;0;0;0;1
"Portalegre";4;0;0;0;0;0;1;0;4;0;2;0;0;0;0;0;0;4
"Porto do Mangue";0;0;0;0;0;0;1;1;1;2;1;0;0;0;1;0;0;1
"Pureza";0;0;0;0;5;0;4;0;1;1;0;0;0;0;0;0;0;1
"Rafael Fernandes";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1
"Rafael Godeiro";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Riacho da Cruz";0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;3
"Riacho de Santana";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Riachuelo";1;0;2;0;2;0;1;0;0;2;0;2;0;1;0;1;0;0
"Rio do Fogo";0;0;2;0;1;0;0;0;1;2;0;1;0;0;0;2;0;1
"Rodolfo Fernandes";0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;3
"Ruy Barbosa";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Santa Cruz";1;0;1;0;17;0;7;0;6;3;7;6;0;5;4;2;0;5
"Santa Maria";0;0;0;0;5;0;3;1;0;1;0;1;0;2;0;0;0;0
"Santana do Matos";1;0;1;0;2;0;3;0;2;1;1;1;0;0;0;0;0;0
"Santana do Seridó";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Santo Antônio";2;0;2;0;6;0;11;3;5;8;4;1;0;1;0;2;0;3
"São Bento do Norte";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"São Bento do Trairí";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0
"São Fernando";1;0;1;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0
"São Francisco do Oeste";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3
"São Gonçalo do Amarante";4;0;11;0;51;2;21;21;13;32;7;19;0;3;6;1;1;2
"São João do Sabugi";1;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;1
"São José de Mipibu";0;0;5;0;7;1;7;2;14;3;2;7;0;3;1;1;0;5
"São José do Campestre";1;0;0;0;3;0;6;1;1;4;0;4;0;1;2;1;0;0
"São José do Seridó";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"São Miguel";2;0;2;0;3;0;7;0;6;1;4;0;0;1;0;3;2;5
"São Miguel do Gostoso";0;0;0;0;1;0;2;0;3;4;0;5;0;1;0;1;0;0
"São Paulo do Potengi";0;0;2;0;6;0;9;1;2;8;0;5;0;2;0;1;0;2
"São Pedro";2;0;0;0;0;0;0;0;1;3;2;0;0;1;0;0;0;0
"São Rafael";1;0;1;0;2;1;1;1;1;1;4;0;0;2;0;0;0;1
"São Tomé";1;0;1;0;3;0;7;0;1;2;0;1;0;0;0;0;0;3
"São Vicente";0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"Senador Elói de Souza";1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Senador Georgino Avelino";0;0;1;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0
"Serra Caiada";2;0;0;0;0;0;0;2;3;1;3;1;0;1;0;0;0;0
"Serra de São Bento";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
"Serra do Mel";2;0;0;0;2;0;0;1;0;4;3;3;0;0;0;0;1;1
"Serra Negra do Norte";0;0;0;0;2;0;0;2;2;0;3;5;0;0;0;1;0;0
"Serrinha";0;0;0;0;3;0;2;0;2;0;2;0;0;0;0;2;0;0
"Serrinha dos Pintos";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"Severiano Melo";1;0;0;0;1;0;0;0;2;0;1;1;0;1;2;0;2;1
"Sítio Novo";0;0;1;0;1;0;1;0;2;1;0;1;0;0;0;0;0;1
"Taboleiro Grande";0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1
"Taipu";0;0;0;0;2;1;4;0;0;0;2;3;0;2;0;0;0;0
"Tangará";1;0;1;0;0;0;2;1;1;1;4;0;0;2;0;0;0;1
"Tenente Ananias";0;0;4;1;5;1;2;0;4;0;1;1;0;1;0;2;0;0
"Tenente Laurentino Cruz";0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0
"Tibau";0;0;1;0;3;1;0;1;2;1;0;1;0;1;0;0;0;0
"Tibau do Sul";1;0;2;0;1;0;1;0;0;0;1;1;0;2;1;0;0;1
"Timbaúba dos Batistas";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Touros";1;0;1;0;1;2;1;7;1;6;1;4;0;1;0;2;1;0
"Triunfo Potiguar";0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"Umarizal";0;0;2;0;1;0;1;0;0;1;1;0;0;3;0;1;2;5
"Upanema";0;0;1;0;0;0;1;0;2;2;2;3;0;5;0;1;1;0
"Várzea";0;0;0;0;3;0;0;0;1;2;0;2;0;1;0;1;0;0
"Venha-Ver";0;0;0;0;0;0;1;0;1;1;0;2;0;0;0;0;0;0
"Vera Cruz";0;0;1;0;1;0;0;0;3;4;1;3;0;1;0;0;0;1
"Viçosa";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Vila Flor";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
